rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.3390/rs13214481,Drone-Based Autonomous Motion Planning System for Outdoor Environments under Object Detection Uncertainty,2021,Remote Sensing,https://doi.org/10.3390/rs13214481,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/rs14153709,Scene Changes Understanding Framework Based on Graph Convolutional Networks and Swin Transformer Blocks for Monitoring LCLU Using High-Resolution Remote Sensing Images,2022,Remote Sensing,https://doi.org/10.3390/rs14153709,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.3389/frobt.2026.1772005,Integrating foundation models with change detection to identify tasking for service robots,2026,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2026.1772005,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1109/lra.2025.3629964,Visual Scene Understanding-Based Task Planning for an Efficient Multipurpose Agricultural Robot System,2025,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3629964,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1109/lra.2025.3645659,Robust Task Planning via Failure Detection Using Scene Graph From Multi-View Images,2026,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3645659,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1109/icra55743.2025.11128568,Robust Scene Change Detection Using Visual Foundation Models and Cross-Attention Mechanisms,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra55743.2025.11128568,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.2316/j.2026.206-1247,GRASPING TASK PLANNING ALGORITHM FOR DEXTEROUS HAND BASED ON SCENE UNDERSTANDING AND SEMANTIC INFORMATION. 295-306,2026,International Journal of Robotics and Automation,https://doi.org/10.2316/j.2026.206-1247,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1109/tits.2022.3207665,"Vision-Based Semantic Segmentation in Scene Understanding for Autonomous Driving: Recent Achievements, Challenges, and Outlooks",2022,IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/tits.2022.3207665,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.3390/electronics11152407,Planning Collision-Free Robot Motions in a Human–Robot Shared Workspace via Mixed Reality and Sensor-Fusion Skeleton Tracking,2022,Electronics,https://doi.org/10.3390/electronics11152407,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/info16110939,ZeroDay-LLM: A Large Language Model Framework for Zero-Day Threat Detection in Cybersecurity,2025,Information,https://doi.org/10.3390/info16110939,Addresses robot scene understanding or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Workspace topology change detection keeps action-critical alternatives explicit until a physical observation collapses them.
